time, BUSDUSDT, BUSDDAI, USDTDAI, USDCUSDT, ALL
02/17/21 09:00,56.7391(0.5294%),216.2044(1.5286%),205.3322(1.4518%),94.4771(0.8808%),572.7529(1.1517%),
02/18/21 09:00,60.4030(0.5636%),220.4185(1.5584%),210.8873(1.4911%),98.0484(0.9141%),589.7572(1.1859%),
02/19/21 09:00,65.6654(0.6127%),224.3161(1.5860%),215.4359(1.5233%),102.1069(0.9519%),607.5243(1.2216%),
02/20/21 09:00,70.0746(0.6538%),228.3838(1.6147%),219.4194(1.5514%),105.7747(0.9861%),623.6525(1.2541%),
02/21/21 09:00,74.3924(0.6941%),233.0241(1.6476%),224.3051(1.5860%),111.1687(1.0364%),642.8902(1.2927%),
02/22/21 09:00,76.6055(0.7147%),237.0781(1.6762%),229.0410(1.6194%),113.7784(1.0608%),656.5029(1.3201%),
02/23/21 09:00,83.2027(0.7763%),240.8460(1.7029%),215.2985(1.5223%),119.2530(1.1118%),658.6003(1.3243%),
02/24/21 09:00,90.5202(0.8446%),245.7215(1.7373%),242.2132(1.7126%),125.6942(1.1719%),704.1491(1.4159%),
02/25/21 09:00,94.4248(0.8810%),251.4032(1.7775%),246.5771(1.7434%),130.0662(1.2126%),722.4714(1.4528%),
02/26/21 09:00,96.9165(0.9043%),255.9672(1.8098%),251.9947(1.7817%),133.3888(1.2436%),738.2672(1.4845%),
02/27/21 09:00,99.3385(0.9268%),260.4654(1.8416%),257.2110(1.8186%),136.2673(1.2704%),753.2823(1.5147%),
02/28/21 09:00,103.9181(0.9696%),264.7838(1.8721%),262.6658(1.8572%),140.4009(1.3090%),771.7685(1.5519%),
03/01/21 09:00,108.0796(1.0084%),269.4181(1.9049%),268.1365(1.8959%),144.1134(1.3436%),789.7475(1.5880%),
03/02/21 09:00,111.0802(1.0364%),273.5334(1.9340%),272.5071(1.9268%),147.8461(1.3784%),804.9667(1.6186%),
03/03/21 09:00,112.9997(1.0543%),277.7647(1.9639%),277.8533(1.9646%),149.7472(1.3961%),818.3649(1.6456%),
03/04/21 09:00,115.0612(1.0735%),281.9614(1.9936%),282.5085(1.9975%),152.0002(1.4171%),831.5313(1.6721%),
03/05/21 09:00,118.0539(1.1015%),286.8840(2.0284%),288.2836(2.0383%),155.3134(1.4480%),848.5350(1.7063%),
03/06/21 09:00,120.6373(1.1256%),291.0060(2.0575%),293.1666(2.0729%),158.1230(1.4742%),862.9330(1.7352%),
03/07/21 09:00,122.8062(1.1458%),295.2315(2.0874%),296.9085(2.0993%),160.7040(1.4982%),875.6502(1.7608%),
03/08/21 09:00,125.0671(1.1669%),299.4108(2.1169%),300.8798(2.1274%),163.0214(1.5199%),888.3791(1.7864%),
03/09/21 09:00,127.5534(1.1901%),303.2424(2.1440%),305.1859(2.1578%),166.1350(1.5489%),902.1167(1.8140%),
03/10/21 09:00,130.0176(1.2131%),307.3695(2.1732%),310.1102(2.1927%),168.6638(1.5725%),916.1611(1.8422%),
03/11/21 09:00,132.5916(1.2371%),313.9185(2.2195%),315.2611(2.2291%),171.2220(1.5963%),932.9932(1.8761%),
03/12/21 09:00,135.0001(1.2596%),318.4945(2.2519%),320.1845(2.2639%),174.2974(1.6250%),947.9765(1.9062%),
