time, BUSDUSDT, BUSDDAI, USDTDAI, USDCUSDT, ALL
12/21/20, 0(0.0), 0(0.0), 0(0.0), 0(0.0), 0(0.0)
02/13/21 09:00,29.3916(0.2742%),203.7330(1.4405%),185.7817(1.3136%),65.5188(0.6108%),484.4252(0.9741%),
02/14/21 09:00,39.1589(0.3654%),206.9308(1.4631%),193.3603(1.3672%),75.4904(0.7038%),514.9404(1.0355%),
02/15/21 09:00,43.1622(0.4027%),211.5687(1.4959%),198.1946(1.4013%),81.1179(0.7563%),534.0434(1.0739%),
02/16/21 09:00,50.1292(0.4677%),214.0117(1.5131%),202.3700(1.4309%),89.3880(0.8334%),555.8988(1.1178%),
02/17/21 09:00,57.8758(0.5400%),218.2938(1.5434%),208.4137(1.4736%),96.2656(0.8975%),580.8490(1.1680%),
02/18/21 09:00,58.0742(0.5418%),224.0144(1.5839%),214.0562(1.5135%),95.2073(0.8876%),591.3521(1.1891%),
02/19/21 09:00,66.8956(0.6241%),225.7623(1.5962%),217.5561(1.5382%),102.7376(0.9578%),612.9516(1.2325%),
02/20/21 09:00,68.7916(0.6418%),231.9689(1.6401%),221.6847(1.5674%),104.4311(0.9736%),626.8764(1.2605%),
02/21/21 09:00,72.7852(0.6791%),234.7929(1.6601%),225.8400(1.5968%),108.7021(1.0134%),642.1201(1.2912%),
02/22/21 09:00,70.0182(0.6533%),239.0608(1.6902%),229.0410(1.6194%),106.3629(0.9916%),644.4829(1.2959%),
02/23/21 09:00,82.6475(0.7711%),241.1813(1.7052%),215.2985(1.5223%),120.4513(1.1230%),659.5786(1.3263%),
02/24/21 09:00,91.0637(0.8496%),249.2009(1.7619%),246.2316(1.7410%),127.5995(1.1896%),714.0957(1.4359%),
02/25/21 09:00,90.8323(0.8475%),254.4934(1.7994%),249.7527(1.7659%),127.8709(1.1921%),722.9492(1.4537%),
02/26/21 09:00,96.9165(0.9043%),257.9681(1.8239%),255.4718(1.8063%),134.5951(1.2548%),744.9515(1.4980%),
02/27/21 09:00,98.0344(0.9147%),263.3711(1.8621%),260.3724(1.8410%),134.9196(1.2579%),756.6974(1.5216%),
02/28/21 09:00,99.1099(0.9247%),268.5872(1.8990%),264.8821(1.8729%),134.1269(1.2505%),766.7062(1.5417%),
03/01/21 09:00,94.3093(0.8799%),273.3307(1.9325%),269.0693(1.9025%),132.1965(1.2325%),768.9058(1.5461%),
03/02/21 09:00,101.2825(0.9450%),275.9471(1.9510%),272.1273(1.9241%),135.8623(1.2666%),785.2192(1.5789%),
03/03/21 09:00,106.1981(0.9908%),281.2259(1.9884%),279.9954(1.9797%),142.8504(1.3318%),810.2698(1.6293%),
